,ProgramID,month,day,year,Program Title,Program Series,Program Type Keys,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal)
27,033110-SS,03,31,2010,Member Networking Forum: The Public Education of Science ,SS,1,NW Hughes Auditorium,1.5,50,0,0,0,0
28,040610-LS,04,06,2010,Asian Carp Invasion: Potential Economic and Ecological Impacts in the Great Lakes,LS,1,Shedd Aquarium,1.5,150,0,5,0,0
29,041710-SS,04,17,2010,Women in Science Symposium 2010: Building an Identity,SS,1,NW Rubloff Hall,1.5,171,0,0,0,0
30,042110-SS,04,21,2010,NAE Grand Challenges for the 21st Century: Chicago Summit 2010,SS,1,Fairmont Hotel,1.5,500,0,0,0,0
31,050610-CEE,05,06,2010,Mudball Earth,CEE,1,NW Hughes Auditorium,1.5,35,0,2,0,0
32,060510-SS,06,05,2010,Leon Lederman,SS,1,Michigan Ave,1.5,200,0,1,0,0
33,090710-LS,09,07,2010,Disaster in the Gulf,LS,1,NW Baldwin Auditorium,1.5,120,0,1,1,0
34,092110-CEE,09,21,2010,Future Fuels,CEE,1,IIT McCloska Auditorium,1.5,70,0,3,0,0
35,100710-CEE,10,07,2010,Climate Change in the Great Lakes Region,CEE,1,The Field Musuem,1.5,150,0,1,0,0
36,111610-HW,11,16,2010,The Immortal Life of Henrietta Lacks,HW,1,NW Thorne Auditorium,1.5,310,0,2,1,0
37,120910-PS,12,09,2010,Chicago's Dark Matter: WIMPs of the Underground,PS,1,NW Hughes Auditorium,1.5,150,0,3,0,0
38,012511-PS,01,25,2011,The Moon,PS,1,IIT McCloska Auditorium,1.5,75,0,0,0,0
39,021711-TEI,02,17,2011,Cyber Scrty,TEI,1,NW Hughes Auditorium,1.5,65,0,2,0,0
40,022411-CEE,02,24,2011,BP Oil Spill: The Casue and Prevention,CEE,1,IIT McCloska Auditorium,1.5,60,0,1,0,0
41,031011-LS,03,10,2011,Drug Discovery: Ingenuity or Serendipity?,LS,1,NW Hughes Auditorium,1.5,65,0,1,0,0
42,041611-LS,04,16,2011,Panic Virus,LS,1,MSI,1.5,40,0,1,0,0
43,042511-CEE,04,25,2011,America's Energy Challenges,CEE,1,Harold Washington Library,1.5,120,0,1,0,0
44,042711-LS,04,27,2011,Mind of the Chimpanzee,LS,1,NW Hughes Auditorium,1.5,65,0,1,1,0
45,052511-CEE,05,25,2011,Nuclear Proliferation,CEE,1,NW Hughes Auditorium,1.5,60,0,1,0,0
46,080511-SS,08,05,2011,Tesla,SS,1,NW Thorne Auditorium,1.5,320,0,3,0,0
47,091311-TEI,09,13,2011,High Speed Rail,TEI,1,Harold Washington Library,1.5,84,0,3,0,0
48,092411-SS,09,24,2011,Ask a Nobel,SS,1,Michigan Ave,1.5,56,0,1,0,0
49,101311-CEE,10,13,2011,Chicago's Water,CEE,1,Holiday Inn Chicago Mart Plaza,1.5,86,0,3,2,0
50,111311-LS,11,13,2011,Gene Patenting,LS,1,NW Hughes Auditorium,1.5,68,0,3,1,0
51,120111-HW,12,01,2011,Science and Policy of Obesity,HW,1,NW Hughes Auditorium,1.5,80,0,2,5,0
52,011912-CEE,01,19,2012,Fracking,CEE,1,NW Hughes Auditorium,1.5,77,0,4,0,0
53,013112-CEE,01,31,2012,Sustainable Energy,CEE,1,IIT McCloska Auditorium,1.5,81,0,1,0,0
