ProgramID,month,day,year,Program Title,program_type_id,fb_post,yt_video,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal),program_series_id
06022015_LS,6,2,2015,C2ST Speakeasy: Genes and Germs: The Battle that Defines Us,3,,,Geek Bar Chicago Beta,1.5,41,0,1,0,0,4
07072015_HW,7,7,2015,C2ST Speakeasy: The Neuroscience of Addiction,3,,,Geek Bar Chicago Beta,1.5,57,0,0,1,0,5
07212015_TEI,7,21,2015,C2ST Speakeasy: Bio-Inspired Climbing Robots,3,,,Geek Bar Chicago Beta,1.5,51,0,1,0,0,6
08042015_CEE,8,4,2015,C2ST Speakeasy: The Ecology of Industry,3,,,Geek Bar Chicago Beta,1.5,49,0,0,1,1,3
08182015_HW,8,18,2015,"C2ST Speakeasy: Diet, Gut Bacteria, and Metabolic Disease: Strategies to Promote Healthy Microbial Communities",3,,,Geek Bar Chicago Beta,1.5,68,0,0,1,1,5
09012015_LS,9,1,2015,C2ST Speakeasy: Why Being Poor Can Also Make You Sick,3,,,Geek Bar Chicago Beta,1.5,28,0,0,1,0,4
09152015_SS,9,15,2015,"C2ST Speakeasy: Sex, Science, and Jokes",3,,,Geek Bar Chicago Beta,1.5,52,0,1,0,1,2
10012015_LS,10,1,2015,What is the BRAIN Initiative?,2,,,"Hughes Auditorium, Northwestern University",2,163,49,4,0,1,4
10062015_CEE,10,6,2015,C2ST Speakeasy: Dirty Secrets: Managing Soil Systems for a Sustainable Future,3,,,Geek Bar Chicago Beta,1.5,30,0,0,1,1,3
10072015_LS,10,7,2015,Evolution at the South Pole,1,,,Revolution Brewery,1.5,127,0,1,1,0,4
10202015_TEI,10,20,2015,C2ST Speakeasy: A Diamond Age of Microelectronics,3,,,Geek Bar Chicago Beta,1.5,34,0,1,0,1,6
10212015_SS,10,21,2015,Failure: Why Science is so Successful,1,,,Chicago Tech Academy High School,1.5,57,4,1,0,0,2
11032015_TEI,11,3,2015,C2ST Speakeasy: What's the deal with wearable technology?,3,,,Geek Bar Chicago Beta,1.5,42,0,1,0,1,6
