Date,Program Title,Live Stream,YouTube Views,FB Views,Attendance (in seats),Hours,Program Series,Venue,Type of Program,Male Speakers,Female Speakers,People of Color (informal),# of Speakers,Partner/ event,Total Viewing,,,,,,
9/10/13,The Landscape of Techpark Innovation,,,,75,1.5,TEI,1871,Original,4,1,,5,,75,,,,,,
9/24/13,Out for the Sperm Count,46,,,38,1.5,LS,NW Baldwin Auditorium,Original,1,,,1,,84,,,,,,
10/24/13,The Price of Doing Nothing ,79,,,82,1.5,CEE,NW Baldwin Auditorium,Original,1,,,1,,161,,,,,,
10/29/13,Science with the Pint: Our Curious Chemical World,,,,25,1.5,LS,Hopleaf Bar,Original,2,1,,3,,25,,,,,,
11/12/13,Epidermal Electronics ,130,,,85,1.5,TEI,NW Baldwin Auditorium,Original,1,,,1,,215,,,,,,
11/13/13,FBI ,65,,,165,1.5,SS,Loyola ,Original,1,,,1,,230,,,,,,
12/11/13,Nano I,120,,,78,1.5,TEI,NW Hughes Auditorium,Original,,,,,,198,,,,,,
1/22/14,The Order of Crystallography,40,118,,38,1.5,TEI,NW Hughes Auditorium,Original,2,,,2,,78,,,,,,
1/30/14,Nano 2 at Argonne,24,83,,120,1.5,TEI,Argonne National Laboratory,Original,,1,,2,,144,,,,,,
2/26/14,Matter into Medicince,30,,,90,1.5,LS,NW Hughes Auditorium,Original,,1,,1,,120,,,,,,
3/12/14,IFSH - Is This Safe to Eat?,18,50,,40,1.5,,NW Hughes Auditorium,Original,2,,,2,,58,,,,,,
4/2/14,Star Trek,48,1073,,125,1.5,PS,UIC BSB room 250,Original,1,,,1,,173,,,,,,
4/3/14,Your Inner Fish,,,,130,1.5,LS,Reva and David Logan Center for the Arts,Original,2,,,2,,130,,,,,,
4/30/14,The Multiplication of Threats,,87,,90,2,CEE,NW Hughes Auditorium,Signature,3,1,,4,,90,,,,,,
8/23/14,Biomechanics,0,8863,,42,1.5,HW,Chicago Hilton South Loop,Original,1,,0,1,,42,,,,,,
9/8/14,Superintelligence,11,237,,80,1.5,SS,NW Hughes Auditorium,Original,1,,0,1,,91,,,,,,
9/19/14,Cinema Slapdown: Gravity,0,,,200,1.5,PS,"Columbia College, Film Row Cinema",Original,2,,0,2,,200,,,,,,
9/20/14,Community Cinema: Women In Space,0,,,71,1.5,PS,"Chicago Cultural Center, Cassidy Theater",Original,,4,0,4,,71,,,,,,
10/21/14,Science + Cinema,,10,,155,1.5,SS,"Columbia College, Film Row Cinema",Original,5,3,,8,,155,,,,,,
10/29/14,Future of Work,,95,,115,2,SS,NW Hughes Auditorium,Signature,4,,0,4,,115,,,,,,
11/12/14,Decoding The New Science and Math Standards I,2,58,,50,1.5,SS,Skokie Public Library,Original,,,,,,52,,,,,,
11/17/14,Nature's Fortune,,,,90,1.5,CEE,Blackstone Hotel,Original,,,,,,90,,,,,,
11/20/14,Decoding The New Science and Math Standards II,,,,32,1.5,SS,NW Hughes Auditorium,Original,3,2,0,5,,32,,,,,,
12/3/14,Women in STEM: Connect,,182,,180,1.5,SS,SAIC Ballroom,Original,,6,2,6,,180,,,,,,
12/9/14,C2ST Speakeasy: The sex life of reptiles,,,,27,1.5,LS,Geek Bar Chicago Beta,Speakeasy,,1,1,1,,27,,,,,,
2/3/15,C2ST Speakeasy: Thinking Outside the WEIRD: Variability in Human Biology,,,,26,1.5,LS,Geek Bar Chicago Beta,Speakeasy,1,,0,1,,26,,,,,,
2/3/15,C2ST Speakeasy: Hot or Not? The biology of human attraction,,,,24,1.5,LS,Geek Bar Chicago Beta,Speakeasy,1,,0,1,,24,,,,,,
2/5/15,How to be Healthy When You're Older,,149,,72,1.5,HW,NW Hughes Auditorium,Original,2,1,0,3,,72,,,,,,
2/11/15,Should America Launch a Major Push into Solar Energy?,,75,,180,1.5,CEE,IIT Perlstein Hall Auditorium,Original,1,,0,1,,180,,,,,,
2/12/15,Water: Chicago in the 21st Century and Beyond,,359,,130,1.5,CEE,NW Hughes Auditorium,Original,2,1,0,3,,130,,,,,,
2/21/15,American Denial,,,,164,1.5,SS,"Chicago Cultural Center, Cassidy Theater",Original,,1,0,1,,164,,,,,,
3/3/15,C2ST Speakeasy: Vandals of the Void: Damaging Meteors from Chelyabinsk to Chicago,,,,43,1.5,PS,Geek Bar Chicago Beta,Speakeasy,1,,0,1,,43,,,,,,
3/12/15,AICHE Engineering Career Day,,,,400,1.5,SS,"Hermann Hall, IIT",Booth,,,,,,400,,,,,,
3/25/15,Music - There's a Science to That,34,54,,85,1.5,SS,The Ballroom at the School of the Art Institute of Chicago,Original,3,,0,3,,119,,,,,,
4/7/15,C2ST Speakeasy: Biomedical Imaging and Personalized Medicine,,,,56,1.5,HW,Geek Bar Chicago Beta,Speakeasy,1,,0,1,,56,,,,,,
4/28/15,The Threat of Superbugs,120,394,,54,1.5,HW,"Baldwin Auditorium, Northwestern University",Original,4,1,0,5,,174,,,,,,
5/4/15,"C2ST Speakeasy: Plants: How we Use 'Em, and How We Don't Lose 'Em",,,,48,1.5,LS,Geek Bar Chicago Beta,Speakeasy,0,1,0,1,,48,,,,,,
5/13/15,When Playing Sports is Bad For Your Brain,,240,,34,1.5,HW,"Hughes Auditorium, Northwestern University",Original,1,2,0,3,,34,,,,,,
6/2/15,C2ST Speakeasy: Genes and Germs: The Battle that Defines Us,,,,41,1.5,LS,Geek Bar Chicago Beta,Speakeasy,1,0,0,1,,41,,,,,,
7/7/15,C2ST Speakeasy: The Neuroscience of Addiction,,,,57,1.5,HW,Geek Bar Chicago Beta,Speakeasy,0,1,0,1,,57,,,,,,
7/21/15,C2ST Speakeasy: Bio-Inspired Climbing Robots,,,,51,1.5,TEI,Geek Bar Chicago Beta,Speakeasy,1,0,0,1,,51,,,,,,
8/4/15,C2ST Speakeasy: The Ecology of Industry,,,,49,1.5,CEE,Geek Bar Chicago Beta,Speakeasy,0,1,1,1,,49,,,,,,
8/18/15,"C2ST Speakeasy: Diet, Gut Bacteria, and Metabolic Disease: Strategies to Promote Healthy Microbial Communities",,,,68,1.5,HW,Geek Bar Chicago Beta,Speakeasy,0,1,1,1,,68,,,,,,
9/1/15,C2ST Speakeasy: Why Being Poor Can Also Make You Sick,,,,28,1.5,LS,Geek Bar Chicago Beta,Speakeasy,0,1,0,1,,28,,,,,,
9/15/15,"C2ST Speakeasy: Sex, Science, and Jokes",,,,52,1.5,SS,Geek Bar Chicago Beta,Speakeasy,1,0,1,1,,52,,,,,,
10/1/15,What is the BRAIN Initiative?,49,288,,163,2,LS,"Hughes Auditorium, Northwestern University",Signature,4,0,1,4,,212,,,,,,
10/6/15,C2ST Speakeasy: Dirty Secrets: Managing Soil Systems for a Sustainable Future,,,,30,1.5,CEE,Geek Bar Chicago Beta,Speakeasy,0,1,1,1,,30,,,,,,
10/7/15,Evolution at the South Pole,,,,127,1.5,LS,Revolution Brewery,Original,1,1,0,2,,127,,,,,,
